Line of defence|2022 Summer|9917922213502836|22275623670002836|23392230540002836
DressageNZ bulletin|iss. 64 (2023 01)|9918746068502836|22324299340002836|23392230020002836
The Geraldine news|2022 12 22|9914793303502836|22215616190002836|23392230010002836
Waikato farming lifestyles|2022 12|9916517563502836|22219543300002836|23392229980002836
Kaipara lifestyler|2022 12 20|9914758883502836|22254819960002836|23392229970002836
Manawatu farming lifestyles|2022 12|9916360543502836|22206751590002836|23392217710002836
The weekend lifestyler|2022 12 23|9918994269002836|22350801370002836|23392229940002836
Nelson weekly|2022 12 21|9915184713502836|22199835210002836|23392229930002836
Weekend Sun|2022 12 16|9915789603502836|22183434080002836|23392217500002836
Weekend Sun|2022 12 22|9915789603502836|22183434080002836|23392217480002836
Coast and country news|2023 01|9915789723502836|22183371940002836|23392229710002836
Asset|2022 12|9919122616802836|22369419690002836|23392217390002836
The sun Blenheim Marlborough|2022 12 21|9915185273502836|22200057560002836|23392229640002836
The Devonport Flagstaff|2022 12 16|9918167067402836|22294300770002836|23392229620002836
The Rangitoto Observer|2022 12 09|9918749271602836|22325071440002836|23392217260002836
The G.B. weekly|2022 12 16|9916664593502836|22215752620002836|23392229480002836
Rural news|iss. 766 (2022 12 20)|9916372423502836|22258493830002836|23392217190002836
Line of defence|2022 Spring|9917922213502836|22275623670002836|23392225320002836
Rural news|iss. 752 (2022 06 07)|9916372423502836|22258493830002836|23392269740002836
Rural news|iss. 754 (2022 07 05)|9916372423502836|22258493830002836|23392258480002836
