Weekend Sun|2022 11 04|9915789603502836|22183434080002836|23389728600002836
Ponsonby news|2022 11|9912050963502836|22236734980002836|23389728590002836
The sun Blenheim Marlborough|2022 11 02|9915185273502836|22200057560002836|23389666250002836
The G.B. weekly|2022 11 04|9916664593502836|22215752620002836|23389666220002836
The G.B. weekly|2022 10 28|9916664593502836|22215752620002836|23389728580002836
Hibiscus Matters|iss. 335 (2022 10 31)|9915638213502836|22211631800002836|23389728570002836
Bunnings New Zealand|2022 Summer|9918846572502836|22335012050002836|23389728560002836
Dairy news|iss. 506 (2022 11 01)|9916375293502836|22258535080002836|23389666190002836
Air force news|iss. 252 (2022 11)|9912818983502836|22228571510002836|23389728020002836
War cry|2022 11|9918136062902836|22277162290002836|23389665340002836
Lizard News|2022 10 01|9919014367302836|22354690260002836|23389665330002836
