Hort news|iss. 17 (2023 01)|9918586073402836|22321031800002836|23394040470002836
NZsecurity|2023 02|9918152565202836|22290727780002836|23394040460002836
Manawatu farming lifestyles|2023 02|9916360543502836|22206751590002836|23394038580002836
The weekend lifestyler|2023 02 24|9918994269002836|22350801370002836|23394017790002836
Weekend Sun|2023 02 24|9915789603502836|22183434080002836|23394038570002836
Farmers weekly|2023 02 27|9917891153502836|22245640500002836|23394038560002836
DressageNZ bulletin|iss. 65 (2023 01)|9918746068502836|22324299340002836|23394038550002836
The Devonport Flagstaff|2023 02 24|9918167067402836|22294300770002836|23394017780002836
The G.B. weekly|2023 02 24|9916664593502836|22215752620002836|23394017760002836
