Weekend Sun|2022 05 13|9915789603502836|22183434080002836|23380741760002836
Weekend Sun|2022 05 06|9915789603502836|22183434080002836|23380733080002836
Education Gazette|v. 101, no. 6 (2022)|9919119906902836|22369219170002836|23380741720002836
The sun Blenheim Marlborough|2022 05 04|9915185273502836|22200057560002836|23380741420002836
The sun Blenheim Marlborough|2022 05 11|9915185273502836|22200057560002836|23380741410002836
The Rangitoto Observer|2022 04 29|9918749271602836|22325071440002836|23380733000002836
The G.B. weekly|2022 05 13|9916664593502836|22215752620002836|23380732990002836
The G.B. weekly|2022 05 06|9916664593502836|22215752620002836|23380732980002836
Hospitality business|2022 05|9917383893502836|22289812080002836|23380741400002836
FMCG business|2022 05|9918756873202836|22327112780002836|23380732870002836
The Shout New Zealand|2022 05|9919003571802836|22352731910002836|23380741290002836
Canterbury today|iss. 165 (2022)|9915192973502836|22207445050002836|23380741200002836
Principals today|iss. 134 (2022 02)|9915192953502836|22207541070002836|23380741190002836
Dairy news|iss. 493 (2022 05 03)|9916375293502836|22258535080002836|23380741140002836
Bunnings New Zealand|2022 Autumn|9918846572502836|22335012050002836|23380732580002836
Dairy news|iss. 494 (2022 05 17)|9916375293502836|22258535080002836|23380732570002836
Coast and country news|2022 05|9915789723502836|22183371940002836|23380732540002836
Hort news|2022 05 10|9918586073402836|22321031800002836|23380741090002836
War cry|2022 05 14|9918136062902836|22277162290002836|23380732530002836
Farmers weekly|2022 05 09|9917891153502836|22245640500002836|23380732520002836
Farmers weekly|2022 05 16|9917891153502836|22245640500002836|23380732510002836
The Geraldine news|2022 05 19|9914793303502836|22215616190002836|23380732500002836
Kaipara lifestyler|2022 05 17|9914758883502836|22254819960002836|23380741080002836
Schoolnews|2022 02|9913172243502836|22192177230002836|23380732490002836
The sun Blenheim Marlborough|2022 05 18|9915185273502836|22200057560002836|23380732480002836
